file,country,frequency,dataset,period_min,period_max,nonempty_cells,series_count
Exchange Rates (ER).csv,Paraguay,Monthly,IMF.STA:ER(4.0.1),1957-M01,2026-M03,8896,16
Exchange Rates (ER).csv,Colombia,Quarterly,IMF.STA:ER(4.0.1),1957-Q1,2026-Q2,2988,16
Exchange Rates (ER).csv,Colombia,Monthly,IMF.STA:ER(4.0.1),1957-M01,2026-M07,8976,16
Exchange Rates (ER).csv,Paraguay,Quarterly,IMF.STA:ER(4.0.1),1957-Q1,2026-Q1,2968,16
Exchange Rates (ER).csv,Chile,Quarterly,IMF.STA:ER(4.0.1),1957-Q1,2026-Q2,2988,16
Exchange Rates (ER).csv,Chile,Monthly,IMF.STA:ER(4.0.1),1957-M01,2026-M07,8976,16
"Financial Soundness Indicators (FSI), Balance Sheet, Income Statement and Memorandum Series.csv",Chile,Quarterly,IMF.STA:FSIBSIS(18.0.0),2001-Q1,2025-Q4,4360,56
"Financial Soundness Indicators (FSI), Balance Sheet, Income Statement and Memorandum Series.csv",Paraguay,Quarterly,IMF.STA:FSIBSIS(18.0.0),2005-Q1,2026-Q1,9030,122
"Financial Soundness Indicators (FSI), Balance Sheet, Income Statement and Memorandum Series.csv",Peru,Quarterly,IMF.STA:FSIBSIS(18.0.0),2010-Q4,2025-Q3,3417,58
"Financial Soundness Indicators (FSI), Balance Sheet, Income Statement and Memorandum Series.csv",Chile,Monthly,IMF.STA:FSIBSIS(18.0.0),2001-M01,2025-M12,12530,53
"Financial Soundness Indicators (FSI), Balance Sheet, Income Statement and Memorandum Series.csv",Paraguay,Monthly,IMF.STA:FSIBSIS(18.0.0),2005-M01,2026-M03,26413,120
"Financial Soundness Indicators (FSI), Balance Sheet, Income Statement and Memorandum Series.csv",Uruguay,Quarterly,IMF.STA:FSIBSIS(18.0.0),2015-Q4,2025-Q2,1512,63
"Financial Soundness Indicators (FSI), Balance Sheet, Income Statement and Memorandum Series.csv",Bolivia,Quarterly,IMF.STA:FSIBSIS(18.0.0),2010-Q1,2025-Q3,3575,59
"Financial Soundness Indicators (FSI), Balance Sheet, Income Statement and Memorandum Series.csv",Bolivia,Monthly,IMF.STA:FSIBSIS(18.0.0),2010-M01,2025-M09,10657,59
"Financial Soundness Indicators (FSI), Balance Sheet, Income Statement and Memorandum Series.csv",Ecuador,Monthly,IMF.STA:FSIBSIS(18.0.0),2003-M01,2026-M05,682,4
"Financial Soundness Indicators (FSI), Balance Sheet, Income Statement and Memorandum Series.csv",Ecuador,Quarterly,IMF.STA:FSIBSIS(18.0.0),2003-Q1,2026-Q1,226,4
"Financial Soundness Indicators (FSI), Balance Sheet, Income Statement and Memorandum Series.csv",Argentina,Quarterly,IMF.STA:FSIBSIS(18.0.0),2012-Q1,2025-Q4,3359,60
"Financial Soundness Indicators (FSI), Balance Sheet, Income Statement and Memorandum Series.csv",Colombia,Quarterly,IMF.STA:FSIBSIS(18.0.0),2005-Q1,2026-Q1,4249,53
"Financial Soundness Indicators (FSI), Balance Sheet, Income Statement and Memorandum Series.csv",Colombia,Monthly,IMF.STA:FSIBSIS(18.0.0),2005-M01,2026-M03,12746,53
"Financial Soundness Indicators (FSI), Balance Sheet, Income Statement and Memorandum Series.csv",Brazil,Quarterly,IMF.STA:FSIBSIS(18.0.0),2005-Q1,2026-Q1,6639,119
"Financial Soundness Indicators (FSI), Core and Additional Indicators.csv",Chile,Quarterly,IMF.STA:FSIC(13.0.1),2001-Q1,2025-Q4,4611,51
"Financial Soundness Indicators (FSI), Core and Additional Indicators.csv",Chile,Monthly,IMF.STA:FSIC(13.0.1),2001-M01,2025-M12,12282,45
"Financial Soundness Indicators (FSI), Core and Additional Indicators.csv",Uruguay,Quarterly,IMF.STA:FSIC(13.0.1),2015-Q4,2025-Q2,1292,54
"Financial Soundness Indicators (FSI), Core and Additional Indicators.csv",Bolivia,Quarterly,IMF.STA:FSIC(13.0.1),2010-Q1,2025-Q3,3247,52
"Financial Soundness Indicators (FSI), Core and Additional Indicators.csv",Bolivia,Monthly,IMF.STA:FSIC(13.0.1),2010-M01,2025-M09,9673,52
"Financial Soundness Indicators (FSI), Core and Additional Indicators.csv",Peru,Quarterly,IMF.STA:FSIC(13.0.1),2010-Q4,2025-Q3,3060,51
"Financial Soundness Indicators (FSI), Core and Additional Indicators.csv",Ecuador,Monthly,IMF.STA:FSIC(13.0.1),2003-M01,2026-M05,5459,23
"Financial Soundness Indicators (FSI), Core and Additional Indicators.csv",Ecuador,Quarterly,IMF.STA:FSIC(13.0.1),2003-Q1,2026-Q1,1808,23
"Financial Soundness Indicators (FSI), Core and Additional Indicators.csv",Argentina,Quarterly,IMF.STA:FSIC(13.0.1),2012-Q1,2025-Q4,3297,59
"Financial Soundness Indicators (FSI), Core and Additional Indicators.csv",Colombia,Quarterly,IMF.STA:FSIC(13.0.1),2005-Q1,2026-Q1,4215,51
"Financial Soundness Indicators (FSI), Core and Additional Indicators.csv",Colombia,Monthly,IMF.STA:FSIC(13.0.1),2005-M01,2026-M03,12645,51
"Financial Soundness Indicators (FSI), Core and Additional Indicators.csv",Paraguay,Monthly,IMF.STA:FSIC(13.0.1),2005-M01,2026-M03,15744,66
"Financial Soundness Indicators (FSI), Core and Additional Indicators.csv",Paraguay,Quarterly,IMF.STA:FSIC(13.0.1),2005-Q1,2026-Q1,5262,66
"Financial Soundness Indicators (FSI), Core and Additional Indicators.csv",Brazil,Quarterly,IMF.STA:FSIC(13.0.1),2005-Q1,2026-Q1,4649,66
"Financial Soundness Indicators (FSI), Country Metadata Table 2.csv",Argentina,Monthly,IMF.STA:FSI_COUNTRY_METADATA_TABLE_2(2.0.0),2005-M12,2050-M12,12443,23
"Financial Soundness Indicators (FSI), Country Metadata Table 2.csv",Brazil,Monthly,IMF.STA:FSI_COUNTRY_METADATA_TABLE_2(2.0.0),2005-M03,2050-M12,11550,21
"Financial Soundness Indicators (FSI), Country Metadata Table 2.csv",Peru,Monthly,IMF.STA:FSI_COUNTRY_METADATA_TABLE_2(2.0.0),2010-M12,2050-M12,10101,21
"Financial Soundness Indicators (FSI), Country Metadata Table 2.csv",Uruguay,Monthly,IMF.STA:FSI_COUNTRY_METADATA_TABLE_2(2.0.0),2008-M12,2050-M12,10605,21
