"source_id","vintage_id","source_file","source_path","archive_path","sha256","size_bytes","publication_date","publication_date_source","ingestion_status"
"eve","eve:9eef7e154e7e7c6f3990e0fc","EVE_Anexo Estadístico_agosto_2026.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/eve/EVE_Anexo Estadístico_agosto_2026.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/eve/9eef7e154e7e7c6f3990e0fccc4e91667e6c271f3bcacf6fcce6091d3cdbf559.xlsx","9eef7e154e7e7c6f3990e0fccc4e91667e6c271f3bcacf6fcce6091d3cdbf559",42191,2026-08-31,"filename","completed"
"exchange_houses","exchange_houses:93e85a8013fb6cf2b842f72e","3. Boletín Casa de Cambio Jul26.xlsm","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/exchange_houses/3. Boletín Casa de Cambio Jul26.xlsm","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/exchange_houses/93e85a8013fb6cf2b842f72e25427bc5449f859329428edb3280e77ad999b33a.xlsm","93e85a8013fb6cf2b842f72e25427bc5449f859329428edb3280e77ad999b33a",11252107,2026-07-31,"filename","completed"
"exchange_rates","exchange_rates:a822c1e0cb97438c1bde2836","Cotizaciones - Julio 2026.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/exchange_rates/Cotizaciones - Julio 2026.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/exchange_rates/a822c1e0cb97438c1bde2836cca9d8b58777f2ae3f8dcb8160197345aabf62a2.xlsx","a822c1e0cb97438c1bde2836cca9d8b58777f2ae3f8dcb8160197345aabf62a2",257516,2026-07-31,"filename","completed"
"financial","financial:5ebb0bcb3260e482dbf6f83e","2.1 Tablas Boletín Financieras Jul26 1.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/financial/2.1 Tablas Boletín Financieras Jul26 1.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/financial/5ebb0bcb3260e482dbf6f83e4c80aa5b7d5e50d65e3b974c6e33221d4998ca3b.xlsx","5ebb0bcb3260e482dbf6f83e4c80aa5b7d5e50d65e3b974c6e33221d4998ca3b",6447642,2026-07-31,"filename","completed"
"financial_indicators","financial_indicators:f9ded3c4fe24e11b14caa1df","Ind. Financieros web-Junio 2026.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/financial_indicators/Ind. Financieros web-Junio 2026.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/financial_indicators/f9ded3c4fe24e11b14caa1df69f4390a3e3367ed076e6c35b1328cbe0c3eaff3.xlsx","f9ded3c4fe24e11b14caa1df69f4390a3e3367ed076e6c35b1328cbe0c3eaff3",1821852,2026-06-30,"filename","completed"
"fx_operations","fx_operations:40495acf211c2c2d11664e42","Histórico - Operaciones Cambiarias.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/fx_operations/Histórico - Operaciones Cambiarias.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/fx_operations/40495acf211c2c2d11664e42db84c028df796bcf8a65b7013ef2e6612504f90c.xlsx","40495acf211c2c2d11664e42db84c028df796bcf8a65b7013ef2e6612504f90c",103024,2026-07-31,"content_max_period","completed"
"icc","icc:b15c74f9723cd0465d088b85","Estadistica ICC.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/icc/Estadistica ICC.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/icc/b15c74f9723cd0465d088b855aa36a670c06997a1a439c81ccf95913f9b3d3a5.xlsx","b15c74f9723cd0465d088b855aa36a670c06997a1a439c81ccf95913f9b3d3a5",96710,2026-07-31,"content_max_period","completed"
"insurance_annex","insurance_annex:7cb2b1d2ffa3badb8113e890","Anexo_estadístico_2025.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/insurance_annex/Anexo_estadístico_2025.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/insurance_annex/7cb2b1d2ffa3badb8113e890339f41cd2f24187ecdf925e532da24e5583fd131.xlsx","7cb2b1d2ffa3badb8113e890339f41cd2f24187ecdf925e532da24e5583fd131",338853,2025-06-30,"content_max_period","completed"
"interbank_market","interbank_market:dbcda6fadd28e3dd5bb3afc2","mercado-interbancario.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/interbank_market/mercado-interbancario.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/interbank_market/dbcda6fadd28e3dd5bb3afc24d640ebfdf12a60742fd46fee753fcc0f5ef7766.xlsx","dbcda6fadd28e3dd5bb3afc24d640ebfdf12a60742fd46fee753fcc0f5ef7766",3195739,2026-08-14,"content_max_period","completed"
"liquidity_facility","liquidity_facility:d0704796350e86652138be52","administracion-de-liquidez-web_1.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/liquidity_facility/administracion-de-liquidez-web_1.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/liquidity_facility/d0704796350e86652138be5232f960021933a28d186b25aebdb9b53236dd31e2.xlsx","d0704796350e86652138be5232f960021933a28d186b25aebdb9b53236dd31e2",94980,2021-09-09,"content_max_period","completed"
"lrm_auctions","lrm_auctions:b7e160f57d37a215d182eaef","Subasta de LRM_WEB.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/lrm_auctions/Subasta de LRM_WEB.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/lrm_auctions/b7e160f57d37a215d182eaeffea7d18a4e99151ebbde1efd9aa320d08ba71a37.xlsx","b7e160f57d37a215d182eaeffea7d18a4e99151ebbde1efd9aa320d08ba71a37",273448,2026-07-30,"content_max_period","completed"
"payments","payments:de7b4a670c8e2d7430cd91d6","Boletín Estadístico de Sistemas de Pago_Julio_2026.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/payments/Boletín Estadístico de Sistemas de Pago_Julio_2026.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/payments/de7b4a670c8e2d7430cd91d609b53d8ae239db5b9ec4efe6611e331e492f5081.xlsx","de7b4a670c8e2d7430cd91d609b53d8ae239db5b9ec4efe6611e331e492f5081",757217,2026-07-31,"filename","completed"
"securities_trades","securities_trades:80f03b3d8b9c898031344ee4","Negociaciones_Bursatiles.csv","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/securities_trades/Negociaciones_Bursatiles.csv","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/securities_trades/80f03b3d8b9c898031344ee43cda6814e04e4475cb4cd52b1a03b810126c8609.csv","80f03b3d8b9c898031344ee43cda6814e04e4475cb4cd52b1a03b810126c8609",42372829,2026-08-19,"content_max_period","completed"
"tcn_referential_daily","tcn_referential_daily:74df666397a33b9c8cdfac10","TCN_Referencial_Diario.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/TCN_Referencial_Diario.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/tcn_referential_daily/74df666397a33b9c8cdfac10d7ffedd23acf7cbd5907ea21332e100fb939c0a4.xlsx","74df666397a33b9c8cdfac10d7ffedd23acf7cbd5907ea21332e100fb939c0a4",117740,,"pending_content_inference","completed"
