entidad_publicada,entidad_clave,es_agregado,metodo_clave,celdas,meses,primer_mes,ultimo_mes,tipos
Cambios Alberdi S.A.,CAMBIOS ALBERDI,FALSE,normalizacion_automatica,5936,60,2011-01,2015-12,casas_cambio
Cambios Chaco S.A.,CAMBIOS CHACO,FALSE,normalizacion_automatica,6003,60,2011-01,2015-12,casas_cambio
Cambios Guairá S.A.,CAMBIOS GUAIRA,FALSE,normalizacion_automatica,5822,60,2011-01,2015-12,casas_cambio
Cambios Río Paraná S.A.,CAMBIOS RIO PARANA,FALSE,normalizacion_automatica,5851,60,2011-01,2015-12,casas_cambio
Cambios Tayí S.A.,CAMBIOS TAYI,FALSE,normalizacion_automatica,3543,41,2011-01,2014-05,casas_cambio
Cambios Triple C S.A.,CAMBIOS TRIPLE C,FALSE,normalizacion_automatica,5742,60,2011-01,2015-12,casas_cambio
Cambios Unique S.A.,CAMBIOS UNIQUE,FALSE,normalizacion_automatica,5722,60,2011-01,2015-12,casas_cambio
Cambios Yrendagué S.A.,CAMBIOS YRENDAGUE,FALSE,normalizacion_automatica,5823,60,2011-01,2015-12,casas_cambio
Ceteg Cambios S.A.,CETEG CAMBIOS,FALSE,normalizacion_automatica,5689,60,2011-01,2015-12,casas_cambio
CITIBANK,CITIBANK,FALSE,normalizacion_automatica,358,13,2011-11,2012-11,bancos
Citibank N.A.,CITIBANK,FALSE,normalizacion_automatica,28503,60,2011-01,2015-12,"bancos,financieras"
6-    Crisol y Encarnación Financiera S.A. (CEFISA),CRISOL Y ENCARNACION FINANCIERA,FALSE,normalizacion_automatica,3875,40,2012-09,2015-12,financieras
CRISOL Y ENCARNACIÓN FINANCIERA S.A.,CRISOL Y ENCARNACION FINANCIERA,FALSE,normalizacion_automatica,358,13,2011-11,2012-11,financieras
Crisol y Encarnación Financiera S.A. (CEFISA),CRISOL Y ENCARNACION FINANCIERA,FALSE,normalizacion_automatica,24844,60,2011-01,2015-12,financieras
1-     El Comercio Financiera S.A.E.C.A.,EL COMERCIO FINANCIERA,FALSE,normalizacion_automatica,3875,40,2012-09,2015-12,financieras
El Comercio Financiera S.A.E.C.A.,EL COMERCIO FINANCIERA,FALSE,normalizacion_automatica,24850,60,2011-01,2015-12,financieras
FINANCIERA EL COMERCIO S.A.E.C.A.,EL COMERCIO FINANCIERA,FALSE,alias_revisable,358,13,2011-11,2012-11,financieras
Euro Cambios S.A.,EURO CAMBIOS,FALSE,normalizacion_automatica,5892,60,2011-01,2015-12,casas_cambio
Fe Cambios S.A.,FE CAMBIOS,FALSE,normalizacion_automatica,5957,60,2011-01,2015-12,casas_cambio
11- Fic S.A. de Finanzas,FIC DE FINANZAS,FALSE,normalizacion_automatica,842,27,2013-10,2015-12,financieras
11- Fic S.A. de Finanzas (*),FIC DE FINANZAS,FALSE,normalizacion_automatica,39,15,2013-07,2014-09,financieras
11- Fic S.A. de Finanzas (**),FIC DE FINANZAS,FALSE,normalizacion_automatica,75,15,2013-07,2014-09,financieras
11-Fic S.A. de Finanzas,FIC DE FINANZAS,FALSE,normalizacion_automatica,1327,27,2013-10,2015-12,financieras
11-Fic S.A. de Finanzas (*),FIC DE FINANZAS,FALSE,normalizacion_automatica,39,15,2013-07,2014-09,financieras
11-Fic S.A. de Finanzas (**),FIC DE FINANZAS,FALSE,normalizacion_automatica,186,15,2013-07,2014-09,financieras
Fic S.A. de Finanzas,FIC DE FINANZAS,FALSE,normalizacion_automatica,7180,15,2014-10,2015-12,financieras
Fic S.A. de Finanzas (*),FIC DE FINANZAS,FALSE,normalizacion_automatica,1418,3,2014-07,2014-09,financieras
Financiera Atlas S.A.E.C.A.,FINANCIERA ATLAS,FALSE,normalizacion_automatica,53,1,2011-01,2011-01,financieras
5-     Financiera Exportadora Paraguaya S.A.(FINEXPAR),FINANCIERA EXPORTADORA PARAGUAYA,FALSE,normalizacion_automatica,3563,38,2012-09,2015-10,financieras
5-     Finexpar S.A.E.C.A.,FINANCIERA EXPORTADORA PARAGUAYA,FALSE,alias_revisable,312,14,2014-11,2015-12,financieras
FINANCIERA EXPORTADORA PARAGUAYA S.A.,FINANCIERA EXPORTADORA PARAGUAYA,FALSE,normalizacion_automatica,358,13,2011-11,2012-11,financieras
Financiera Exportadora Paraguaya S.A. (FINEXPAR),FINANCIERA EXPORTADORA PARAGUAYA,FALSE,normalizacion_automatica,11620,25,2013-09,2015-10,financieras
