periodo,periodo_de,seccion,producto_publicado,sector,moneda,tasa,valor_publicado,valor,unidad,archivo,sha256,fecha_corte,fila,columna
2011-01,titulo_hoja,CDA,CERTIFIC.DEPOSITOS DE AHORROS A 180 DIAS,BANCOS,M/L,Nominal,6.0599999999999996,6.06,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,19,2
2011-01,titulo_hoja,CDA,CERTIFIC.DEP. DE AHORRO <=  365 DIAS,BANCOS,M/L,Nominal,6.9800000000000004,6.98,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,20,2
2011-01,titulo_hoja,CDA,CERTIFIC. DEPOSITOS AHORROS > 365 DIAS,BANCOS,M/L,Nominal,10.720000000000001,10.72,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,21,2
2011-01,titulo_hoja,CDA,III. PRESTAMOS A BANCOS - CALL MONEY ACTIVO,BANCOS,M/L,Nominal,4.8200000000000003,4.82,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,22,2
2011-01,titulo_hoja,,PRESTAMO COMERCIAL <= 1AÑO,FINANCIERAS,M/E,Efectiva,12.27,12.27,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,8,9
2011-01,titulo_hoja,,PRESTAMO COMERCIAL > 1AÑO,FINANCIERAS,M/E,Efectiva,12.9,12.9,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,9,9
2011-01,titulo_hoja,,PRESTAMOS DE DESARROLLO > 1 AÑO,FINANCIERAS,M/E,Efectiva,11,11,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,11,9
2011-01,titulo_hoja,,PRESTAMO PERSONAL - CONSUMO <= 1 AÑO,FINANCIERAS,M/E,Efectiva,13.050000000000001,13.05,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,12,9
2011-01,titulo_hoja,,PRESTAMO PERSONAL - CONSUMO > 1 AÑO,FINANCIERAS,M/E,Efectiva,13.56,13.56,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,13,9
2011-01,titulo_hoja,,PROMEDIO SIMPLE TASAS ACTIVAS,FINANCIERAS,M/E,Efectiva,12.556000000000001,12.556,porcentaje anual (según la hoja),Ficha 012011.xls,8a43bd6375760a513ab07de8b142c2a1100901221fd073863ce662eaa93994e4,2011-01-31,15,9
