archivo,hoja,tipo,diseno,fila,concepto,seccion,suma,n,sistema,eje,columna,es_monto,rel
1_BOLB_102013.xls,32,bancos,clasico,,Comercio > Por Menor,,1.54476353827734,16,0.0822823190195362,entidad_en_fila,7,TRUE,1.4624812192578
1_BOLB_102013.xls,32,bancos,clasico,,Comercio > Servicio,,1.11536958597691,16,0.0811980129100863,entidad_en_fila,8,TRUE,1.03417157306682
1_BOLB_102013.xls,32,bancos,clasico,,Comercio > Consumo,,2.28039015786978,16,0.158125491857217,entidad_en_fila,9,TRUE,2.12226466601256
1_BOLB_102013.xls,32,bancos,clasico,,Comercio > Exportación,,0.0950490957321829,16,0.0075427076850993,entidad_en_fila,10,TRUE,0.0875063880470836
1_BOLB_102013.xls,32,bancos,clasico,,Sector > Financiero,,1.82517958418062,16,0.0792893990501682,entidad_en_fila,11,TRUE,1.74589018513045
1_BOLB_102013.xls,32,bancos,clasico,,TOTAL > Financiero,,16,16,1,entidad_en_fila,12,TRUE,15
1_BOLB_102013.xls,34,bancos,clasico,,,,36449415.2543749,32,22251.445884,entidad_en_fila,3,TRUE,1637.06951891535
1_BOLB_102013.xls,34,bancos,clasico,,,,2214792.033345,20,34123.416711,entidad_en_fila,6,TRUE,63.9053420442227
1_BOLB_102013.xls,34,bancos,clasico,,,,678015.01657507,20,18033.30885,entidad_en_fila,7,TRUE,36.5979262715877
1_BOLB_102013.xls,35,bancos,clasico,,,,41410348.3931019,32,4983184.584611,entidad_en_fila,3,TRUE,7.3100169560214
1_BOLB_102013.xls,35,bancos,clasico,,,,7090402.5511786,20,4909733.9345446,entidad_en_fila,6,TRUE,0.444152095756339
1_BOLB_102013.xls,35,bancos,clasico,,,,5627376.65618607,20,4967394.948461,entidad_en_fila,7,TRUE,0.132862740847604
1_BOLB_102013.xls,36,bancos,clasico,,,,37122934.9288739,32,695771.120383,entidad_en_fila,3,TRUE,52.3550960097897
1_BOLB_102013.xls,36,bancos,clasico,,,,2999272.695364,20,818604.07873,entidad_en_fila,6,TRUE,2.66388682061924
1_BOLB_102013.xls,36,bancos,clasico,,,,1483800.50391907,20,823818.796194,entidad_en_fila,7,TRUE,0.801124847811377
1_BOLB_102013.xls,37,bancos,clasico,,,,1008121.044193,16,990695.813336,entidad_en_fila,9,TRUE,0.0175888810898711
1_BOLB_102015.xls,5,bancos,nuevo,30,Agricultura | --,OTROS,16069756.945479,12,17815202.319105,entidad_en_columna,,TRUE,-0.0979750520011881
1_BOLB_102015.xls,5,bancos,nuevo,31,Ganadería | -- | --,OTROS,6468684.182046,12,7338143.339428,entidad_en_columna,,TRUE,-0.118484896950756
1_BOLB_122015.xls,5,bancos,nuevo,30,Agricultura | --,OTROS,16818208.216167,12,18728336.571491,entidad_en_columna,,TRUE,-0.101991351342525
1_BOLB_122015.xls,5,bancos,nuevo,31,Ganadería | --,OTROS,6808373.034334,12,7665477.330294,entidad_en_columna,,TRUE,-0.111813558246754
2_BOLF 022015.xls,5,financieras,nuevo,29,Agricultura | -- | --,OTROS,9481.117894,2,545353.477093,entidad_en_columna,,TRUE,-0.982614729176132
2_BOLF 022015.xls,5,financieras,nuevo,30,Ganadería | --,OTROS,14826.482459,2,143706.048321,entidad_en_columna,,TRUE,-0.896827707447068
2_BOLF 022015.xls,5,financieras,nuevo,31,Industria | --,OTROS,8052.979426,2,198833.492371,entidad_en_columna,,TRUE,-0.959498878534135
2_BOLF 022015.xls,5,financieras,nuevo,36,Exportación | -- | --,OTROS,37307.191493,2,60111.147684,entidad_en_columna,,TRUE,-0.379363180867528
2_BOLF 092013_N(1).xls,1,financieras,nuevo,58,OTRAS ENTIDADES,,65735.703342,12,296288.49114789,entidad_en_columna,,TRUE,-0.7781361568
2_BOLF 092013_N(1).xls,8,financieras,nuevo,,--,,18806.350661,2,116227.363062,entidad_en_fila,2,TRUE,-0.838193432548513
2_BOLF 092013_N(1).xls,8,financieras,nuevo,,--,,18698.978918,2,117625.683713,entidad_en_fila,3,TRUE,-0.841029796148735
2_BOLF 092013_N(1).xls,8,financieras,nuevo,,--,,18519.130555,2,119863.990672,entidad_en_fila,4,TRUE,-0.845498798670266
2_BOLF 092013_N(1).xls,8,financieras,nuevo,,--,,18844.196422,2,117678.987603,entidad_en_fila,5,TRUE,-0.839867789434317
2_BOLF 092013_N(1).xls,8,financieras,nuevo,,--,,19162.439965,2,120593.810247,entidad_en_fila,6,TRUE,-0.841099307454076
2_BOLF 092013_N(1).xls,8,financieras,nuevo,,--,,20106.937299,2,122546.640031,entidad_en_fila,7,TRUE,-0.835924205723522
2_BOLF 092013_N(1).xls,8,financieras,nuevo,,--,,21064.77244,2,122496.396226,entidad_en_fila,8,TRUE,-0.828037615072883
