codigo,descripcion,nivel,ponderacion_publicada,ponderacion,nota,padre,fuente,archivo_origen
10103021,FIDEO CORTADO,4,"0,122",0.122,,10103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10103022,FIDEO LAMINADO,4,"0,364",0.364,,10103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10103023,ÑOQUIS,4,"0,034",0.034,,10103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10103024,ARROZ,4,"0,279",0.279,,10103000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10104000,OTROS CEREALES,3,"0,093",0.093,,10100000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10104025,CEREALES PARA EL DESAYUNO,4,"0,053",0.053,,10104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10104026,GRANOLAS Y AVENAS LISTAS PARA CONSUMIR,4,"0,041",0.041,,10104000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10200000,CARNES,2,"9,491",9.491,,10000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201000,CARNE VACUNA,3,"6,228",6.228,,10200000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201027,BOLA DE LOMO,4,"0,247",0.247,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201028,CARNAZA DE 2DA.,4,"0,593",0.593,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201029,CARNAZA BLANCA,4,"0,265",0.265,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201030,CARNAZA NEGRA O DE 1RA.,4,"1,536",1.536,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201031,CARNE MOLIDA DE 1RA.,4,"0,216",0.216,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201032,CARNE MOLIDA DE 2DA.,4,"0,059",0.059,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201033,COLITA CUADRIL,4,"0,065",0.065,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201034,COSTILLA DE 1RA. PARA ASADO,4,"1,520",1.52,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201035,COSTILLA DE 2DA.,4,"0,095",0.095,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201036,FALDA,4,"0,056",0.056,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201037,LOMO,4,"0,132",0.132,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201038,PALETA,4,"0,123",0.123,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201039,PECETO,4,"0,065",0.065,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201040,PUCHERO DE 1RA.,4,"0,307",0.307,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201041,PUCHERO DE 2DA.,4,"0,125",0.125,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201042,RABADILLA,4,"0,250",0.25,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201043,TAPA CUADRIL,4,"0,093",0.093,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10201044,VACÍO,4,"0,480",0.48,,10201000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10202000,CARNE DE CERDO,3,"0,304",0.304,,10200000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10202045,COSTELETA DE CERDO,4,"0,057",0.057,,10202000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10202046,COSTILLA DE CERDO,4,"0,134",0.134,,10202000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10202047,CUARTO DE CERDO,4,"0,059",0.059,,10202000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10202048,PALETA DE CERDO,4,"0,055",0.055,,10202000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10203000,CARNE DE AVES,3,"1,399",1.399,,10200000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10203049,ALITAS DE POLLO,4,"0,093",0.093,,10203000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10203050,POLLO ENTERO INDUSTRALIZADO,4,"0,384",0.384,,10203000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10203051,MUSLO DE POLLO,4,"0,406",0.406,,10203000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10203052,PECHUGA DE POLLO,4,"0,471",0.471,,10203000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
