vintage_id,source_id,source_sheet,release_id,numeric_source_cells,accepted_observations,rejected_observations,documented_exclusions,many_to_one_allowance,balance_delta,status,note,checked_at,accepted_cells,cell_reuse,unmapped_in_region,out_of_region_cells,classified_cells,unclassified_cells,parser_defect_cells
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 31,release:dcbccb827b93ee2362ab3c56,1845,1451,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1451,0,0,394,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 37,release:dcbccb827b93ee2362ab3c56,3463,3445,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,3445,0,0,18,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,Cuadro 44b,release:dcbccb827b93ee2362ab3c56,7122,6647,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,6647,0,0,475,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 14,release:dcbccb827b93ee2362ab3c56,6460,6080,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,6080,0,0,380,0,0,0
financial_indicators:f9ded3c4fe24e11b14caa1df,financial_indicators,2.1,release:dcbccb827b93ee2362ab3c56,8350,8350,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,8350,0,0,0,0,0,0
lrm_auctions:b7e160f57d37a215d182eaef,lrm_auctions,Subastas 2017,release:dcbccb827b93ee2362ab3c56,1102,742,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,742,0,0,360,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.3,release:dcbccb827b93ee2362ab3c56,1377,1377,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1377,0,0,0,0,0,0
exchange_rates:a822c1e0cb97438c1bde2836,exchange_rates,REAL Fin Mes,release:dcbccb827b93ee2362ab3c56,881,782,0,87,0,0,balanced,Every numeric cell in the parsed region is an observation or a classified non-observation (87 classified).,2026-09-14T23:20:57Z,782,0,87,12,87,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 56a,release:dcbccb827b93ee2362ab3c56,3950,3562,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,3562,0,0,388,0,0,0
direct_investment:fbc612f5e64f6905a2e84928,direct_investment,Cuadro 5,release:dcbccb827b93ee2362ab3c56,7780,7721,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,7721,0,0,59,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,SIPAP_06,release:dcbccb827b93ee2362ab3c56,459,459,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,459,0,0,0,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,SIPAP_09,release:dcbccb827b93ee2362ab3c56,816,816,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,816,0,0,0,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,OMP 02,release:dcbccb827b93ee2362ab3c56,1062,1062,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1062,0,0,0,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 25,release:dcbccb827b93ee2362ab3c56,4575,4248,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,4248,0,0,327,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 40,release:dcbccb827b93ee2362ab3c56,4012,4004,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,4004,0,0,8,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,Cuadro 45,release:dcbccb827b93ee2362ab3c56,5539,5083,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,5083,0,0,456,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,Cuadro 47,release:dcbccb827b93ee2362ab3c56,5465,5094,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,5094,0,0,371,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 3,release:dcbccb827b93ee2362ab3c56,766,735,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,735,0,0,31,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 16 a,release:dcbccb827b93ee2362ab3c56,6132,5752,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,5752,0,0,380,0,0,0
interbank_market:dbcda6fadd28e3dd5bb3afc2,interbank_market,Mdo Secundario,release:dcbccb827b93ee2362ab3c56,3644,2037,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,2037,0,0,1607,0,0,0
lrm_auctions:b7e160f57d37a215d182eaef,lrm_auctions,Subastas 2025,release:dcbccb827b93ee2362ab3c56,1102,742,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,742,0,0,360,0,0,0
credit_survey:58a83c5bcd64e4423fc13c40,credit_survey,%,release:dcbccb827b93ee2362ab3c56,18236,14570,0,3598,0,0,balanced,Every numeric cell in the parsed region is an observation or a classified non-observation (3598 classified).,2026-09-14T23:20:57Z,14570,0,3598,68,3598,0,0
exchange_houses:93e85a8013fb6cf2b842f72e,exchange_houses,2. Ratios,release:dcbccb827b93ee2362ab3c56,241,240,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,240,0,0,1,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.9,release:dcbccb827b93ee2362ab3c56,340,340,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,340,0,0,0,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.10,release:dcbccb827b93ee2362ab3c56,986,986,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,986,0,0,0,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.13,release:dcbccb827b93ee2362ab3c56,1326,1326,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1326,0,0,0,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.14,release:dcbccb827b93ee2362ab3c56,1326,1326,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1326,0,0,0,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.27,release:dcbccb827b93ee2362ab3c56,136,136,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,136,0,0,0,0,0,0
exchange_rates:a822c1e0cb97438c1bde2836,exchange_rates,EURO Fin Mes,release:dcbccb827b93ee2362ab3c56,665,590,0,61,0,0,balanced,Every numeric cell in the parsed region is an observation or a classified non-observation (61 classified).,2026-09-14T23:20:57Z,590,0,61,14,61,0,0
banking_indicators:c57dc0f6a422ac9e54dafccd,banking_indicators,7,release:dcbccb827b93ee2362ab3c56,504,378,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,378,0,0,126,0,0,0
bcp_fx_daily:a45bea1e1508bb019befcac9,bcp_fx_daily,OpDivisas2015(DatosDiarios),release:dcbccb827b93ee2362ab3c56,3237,2988,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,2988,0,0,249,0,0,0
direct_investment:fbc612f5e64f6905a2e84928,direct_investment,Cuadro 1,release:dcbccb827b93ee2362ab3c56,2379,2320,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,2320,0,0,59,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,MIHA 02,release:dcbccb827b93ee2362ab3c56,765,765,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,765,0,0,0,0,0,0
